text,final_text,tokens,sentiment_score,sentiment
2021-2023 terimaa kasihhhh #skintific #SkintificIndonesia #TikTokShop .,terimaa kasihhhh skintific skintificindonesia tiktokshop,"['terimaa', 'kasihhhh', 'skintific', 'skintificindonesia', 'tiktokshop']",0,netral
"Nggak ada alesan skip pake moisturizer akibat cuaca sumuk karna ada OMG Moisture Gel Panthenol + Ceramide💦

Teksturnya snowy gel yang ada cooling technologynya ngebantu memperkuat skin barrier dan ngurangin kemerahan🥹🫶
#racuninskincare #OMGBeauty #skincareomg",enggak alesan skip pakai moisturizer akibat cuaca sumuk karena omg moisture gel panthenol ceramide tekstur snowy gel cooling technologynya membantu kuat skin barrier ngurangin merah racuninskincare omgbeauty skincareomg,"['enggak', 'alesan', 'skip', 'pakai', 'moisturizer', 'akibat', 'cuaca', 'sumuk', 'karena', 'omg', 'moisture', 'gel', 'panthenol', 'ceramide', 'tekstur', 'snowy', 'gel', 'cooling', 'technologynya', 'membantu', 'kuat', 'skin', 'barrier', 'ngurangin', 'merah', 'racuninskincare', 'omgbeauty', 'skincareomg']",-16,negatif
"di era gempuran sunscreen viral, ini brand masih jadi TOP OF MIND PRODUK SUNSCREEN☀️ kenapa?

✅ sesuai claim & no fake spf
✅ harganya affordable
✅ brand yang bikin sunscreen variatif
#racuninskincare #supportlokal",era gempur sunscreen viral brand top of mind produk sunscreen sesuai claim no fake spf harga affordable brand bikin sunscreen variatif racuninskincare supportlokal,"['era', 'gempur', 'sunscreen', 'viral', 'brand', 'top', 'of', 'mind', 'produk', 'sunscreen', 'sesuai', 'claim', 'no', 'fake', 'spf', 'harga', 'affordable', 'brand', 'bikin', 'sunscreen', 'variatif', 'racuninskincare', 'supportlokal']",7,positif
"Siapa yang cari skincare yg seger, adem di muka, bisa memperbaiki skin barrier juga mengurangi kemerahan?

OMG Panthenol + Ceramide Moisture Gel solusinya 🌼
#racuninskincare #OMGBeauty #skincareomg",cari skincare segar adem muka baik skin barrier kurang merah omg panthenol ceramide moisture gel solusi racuninskincare omgbeauty skincareomg,"['cari', 'skincare', 'segar', 'adem', 'muka', 'baik', 'skin', 'barrier', 'kurang', 'merah', 'omg', 'panthenol', 'ceramide', 'moisture', 'gel', 'solusi', 'racuninskincare', 'omgbeauty', 'skincareomg']",-3,negatif
"cukup pake serum 20k-an aja untuk hasil yg GONG BGT buat nenangin jerawat & kemerahan skaligus nyerahin kulitku ini 🤩

membantu utk saving money in this economy buat budget skincare loh, bundle under 50k‼️🫣
kudu bgt di stok mmpung awal bulan 🗓️ #ReviewbyNinut🦋 #racuninskincare",pakai serum hasil gong banget nenangin jerawat merah sekaligus nyerahin kulit bantu untuk saving money ini this economy budget skincare loh bundle under ke kudu banget stok mmpung reviewbyninut racuninskincare,"['pakai', 'serum', 'hasil', 'gong', 'banget', 'nenangin', 'jerawat', 'merah', 'sekaligus', 'nyerahin', 'kulit', 'bantu', 'untuk', 'saving', 'money', 'ini', 'this', 'economy', 'budget', 'skincare', 'loh', 'bundle', 'under', 'ke', 'kudu', 'banget', 'stok', 'mmpung', 'reviewbyninut', 'racuninskincare']",-8,negatif
"liat deh, moisturizer ini teksturnya unik bgt! bukan cream / gel, tp kyk eskrim sorbet gitu 😌

trs feelsnya adem bgt di kulit, yg sering aktivitasnya outdoor & butuh skincare yg rasanya seger pasti bakalan suka! kamu udah pernah cobain belum? 👀 #racuninskincare",lihat deh moisturizer tekstur unik banget cream gel tapi kayak eskrim sorbet begitu terus feelsnya adem banget kulit aktivitas outdoor butuh skincare segar suka mencoba racuninskincare,"['lihat', 'deh', 'moisturizer', 'tekstur', 'unik', 'banget', 'cream', 'gel', 'tapi', 'kayak', 'eskrim', 'sorbet', 'begitu', 'terus', 'feelsnya', 'adem', 'banget', 'kulit', 'aktivitas', 'outdoor', 'butuh', 'skincare', 'segar', 'suka', 'mencoba', 'racuninskincare']",2,positif
"Face oil yang bikin kulit nyaman, wanginya bikin ketagihan! 

Yuk kenalan sama salah satu face oil teringan dari brand yang racunnya lagi sliweran dimana-mana;
Barrier Booster Facial Oil by SKINTIFIC
#SkintificIndonesia #Skintific #Skintizen #RacuninSkincare #DarmaReview",face oil bikin kulit nyaman wangi bikin tagih yuk kenal salah face oil tering brand racun sliweran dimanamana barrier booster facial oil by skintific skintificindonesia skintific skintizen racuninskincare darmareview,"['face', 'oil', 'bikin', 'kulit', 'nyaman', 'wangi', 'bikin', 'tagih', 'yuk', 'kenal', 'salah', 'face', 'oil', 'tering', 'brand', 'racun', 'sliweran', 'dimanamana', 'barrier', 'booster', 'facial', 'oil', 'by', 'skintific', 'skintificindonesia', 'skintific', 'skintizen', 'racuninskincare', 'darmareview']",-3,negatif
"Punya permasalah jerawat tapi belum ketemu solusinya? Let's me show you the tips!

Yuk kenalan sama salah satu acne spot gel favoritku, Salicylic Acid Acne Spot Treatment by SKINTIFIC😍

#SkintificIndonesia #Skintific #Skintizen #RacuninSkincare #DarmaReview",masa jerawat ketemu solusi lets me show you tips yuk kenal salah acne spot gel favorit salicylic acid acne spot treatment by skintific skintificindonesia skintific skintizen racuninskincare darmareview,"['masa', 'jerawat', 'ketemu', 'solusi', 'lets', 'me', 'show', 'you', 'tips', 'yuk', 'kenal', 'salah', 'acne', 'spot', 'gel', 'favorit', 'salicylic', 'acid', 'acne', 'spot', 'treatment', 'by', 'skintific', 'skintificindonesia', 'skintific', 'skintizen', 'racuninskincare', 'darmareview']",5,positif
"Setuju ngga sih kalo moist ini endull bgt , moist terenak nomer 1 versi aku 🔥

#Skintific #SkintificIndonesia #Moisturizer #KBeauty #KBeautyProducts #Skincare",tuju enggak moist endull banget moist enak nomer versi skintific skintificindonesia moisturizer kbeauty kbeautyproducts skincare,"['tuju', 'enggak', 'moist', 'endull', 'banget', 'moist', 'enak', 'nomer', 'versi', 'skintific', 'skintificindonesia', 'moisturizer', 'kbeauty', 'kbeautyproducts', 'skincare']",-2,negatif
"Skintific skincare paket all pack untuk perawatan kulit dan Membantu dalam mencerahkan kulit 

jangan lupa mampir dan belanja keranjang kuning ya kaka

ayo pesan kaka

vt.tokopedia.com/t/ZSjmfcPxs…

#skintific #skincare #glowing #glowingskin #skintificid #perawatanwajah #perawatankulit",skintific skincare paket all pack awat kulit bantu cerah kulit lupa mampir belanja keranjang kuning kakak ayo pesan kakak vttokopediacomtzsjmfcpxs skintific skincare glowing glowingskin skintificid perawatanwajah perawatankulit,"['skintific', 'skincare', 'paket', 'all', 'pack', 'awat', 'kulit', 'bantu', 'cerah', 'kulit', 'lupa', 'mampir', 'belanja', 'keranjang', 'kuning', 'kakak', 'ayo', 'pesan', 'kakak', 'vttokopediacomtzsjmfcpxs', 'skintific', 'skincare', 'glowing', 'glowingskin', 'skintificid', 'perawatanwajah', 'perawatankulit']",-7,negatif
"I WISH.... I KNEW.... EARLIER...

sedikit nyesel baru cobain physical sunscreen dari brand lokal yang ✨BAGUS✨ buat acne & sensitive skin

ayok, buat ukuran gedenya gak🫵

#rekomenlookie 
#racuninskincare",wish knew earlier menyesal mencoba physical sunscreen brand lokal bagus acne sensitive skin ayok ukur gede rekomenlookie racuninskincare,"['wish', 'knew', 'earlier', 'menyesal', 'mencoba', 'physical', 'sunscreen', 'brand', 'lokal', 'bagus', 'acne', 'sensitive', 'skin', 'ayok', 'ukur', 'gede', 'rekomenlookie', 'racuninskincare']",-7,negatif
